name,grams,kcal
"Tunfisk, i vann, avrent, hermetisk",100,105
,,
"Retter med fisk, skalldyr o.l.",,
"Akkar, innbakt, forfritert, fryst",100,212
"Akkar, innbakt, forfritert, stekt i soyaolje",100,278
"Akkar, tiarmet blekksprut, kokt",78,150
"Fiskegrateng, Coop X-tra Fiskegrateng",100,117
"Fiskegrateng, Enghav Fiskegrateng med makaroni",100,118
"Fiskegrateng, Findus Familiens fiskegrateng",100,135
"Fiskegrateng, First Price Fiskegrateng med makaroni",100,109
"Fiskegrateng, kjøpt",100,119
"Fiskegrateng, med egg og makaroni, ovnsstekt",100,160
"Fiskegrateng, med egg, ovnsstekt, kjøpt",100,115
"Fiskegrateng, med egg, ovnsstekt",100,156
"Fiskegryte, med sei, løk og paprikasaus",100,98
"Fiskegryte, med torsk og tomat",100,83
"Fiskepinner, Findus",100,180
"Fiskepinner, forfritert, stekt i fett",100,241
"Fiskepinner, forfritert, stekt i hard margarin",100,194
"Fiskepinner, forfritert, stekt i matolje",100,198
"Fiskepinner, forfritert, stekt i myk margarin",100,195
"Fiskepinner, forfritert, stekt i smør",100,240
"Fiskesuppe, med laks, fryst",100,65
"Fiskesuppe, med mager fisk",100,45
"Fiskesuppe, med mager fisk, fryst",100,124
"Fiskesuppe, med mager fisk, jevnet",100,48
"Kabaret, med fiskepudding og reker",100,47
"Reker, innbakt, forfritert, fryst",100,225
"Reker, innbakt, forfritert, stekt i soyaolje",100,291
"Rogn, torsk, hermetisk, stekt i fett",100,230
"Sashimi, kveite",100,113
"Sashimi, laks",100,224
"Sashimi, tunfisk",100,105
"Sildesalat, med potet",100,77
"Sushi, maki, kveite",100,116
"Sushi, maki, laks",100,134
"Sushi, maki, tunfisk",100,115
"Sushi, nigiri, kveite",100,114
"Sushi, nigiri, laks",100,147
"Sushi, nigiri, tunfisk",100,112
,,
"Skalldyr, fiskeinnmat",,
"Akkar, tiarmet blekksprut, rå",78,77
"Blåskjell, avrent, hermetisk",100,103
"Blåskjell, rå",51,54
"Hummer, kokt",28,66
"Kamskjell, kokt",M,102
"Kamskjell, rå",M,81
"Kongereke, rå",M,77
"Krabbe, kokt",40,108
"Krabbe, naturell, hermetisk",100,108
"Krabbepinner, crabsticks, fryst",100,103
"Kreps, kokt",12,54
"Lever, torsk, rå",M,553
"Reker, i lake, avrent",100,58
"Reker, kokt",33,100
"Rogn, torsk, hermetisk, stekt i fett",100,230
"Rogn, torsk, kokt",100,126
"Rogn, torsk, presset, hermetisk",100,125
"Rogn, torsk, rå",100,116
"Snegler, hermetisk",100,77
"Strandsnegle, norsk",16,87
"Østers, rå",10,59
,,
"Korn- og bakevarer, frø og nøtter",,
Mel,,
"Amaranth, tørr",100,367
Bokhvetemel,100,307
Byggmel,100,302
Finbakstmel,100,345
"Grovbakstmel, 40 % sammalt",100,323
Havrekli,100,361
Havremel,100,373
Hvetekim,100,330
Hvetekli,100,294
"Hvetemel, sammalt, fint/grovt",100,319
"Hvetemel, siktet",100,352
"Kakemiks, fin, glutenfri, pulver, Toro",100,348
Kikertmel,100,375
Kokosmel,100,648
"Maismel, polenta",100,305
Maisstivelse,100,355
Mandelmel,100,603
"Mel, glutenfritt, grovt, Semper",100,335
"Mel, glutenfritt, grovt, Toro",100,344
"Mel, glutenfritt, Jyttemel Original",100,344
"Mel, glutenfritt, lyst, Toro",100,360
"Mel, glutenfritt, Schär",100,335
"Potetmel, potetstivelse",100,337
"Rismel, risstivelse",100,360
"Rugmel, sammalt",100,323
"Rugmel, siktet",100,342
Soyamel,100,449
"Soyamel, mindre fett",100,370
,,
"Gryn, ris, pasta",,
"Gryn, ris, pasta, råvare",,
"Bokhvete, hele korn",100,314
"Bulgurgryn, tørr",100,288
Byggryn,100,327
"Couscous, tørr",100,321
"Havregryn, lettkokte/store",100,389
"Hirse, hele korn",100,341
"Hvete, helkorn",100,315
"Nudler av ris, tørr",100,351
"Nudler, glass, tørr",100,344
"Nudler, med egg, tørr",100,359
"Nudler, uten egg, tørr",100,343
"Pasta, fersk med kjøtt og ost, tortellini, rå",100,282
"Pasta, fersk med kjøtt, tortellini, rå",100,291
"Pasta, fersk med ost, ravioli, rå",100,321
"Pasta, fullkorn, tørr",100,362
"Pasta, glutenfri, av mais og ris, tørr, Barilla",100,353
"Pasta, glutenfri, av ris og grønnsaker, tørr, Orgran tricolore",100,339
"Pasta, glutenfri, spagetti, tørr, Semper",100,346
"Pasta, grønn, fersk, rå",100,229
"Pasta, naturell, fersk, rå",100,244
"Pasta, naturell, tørr",100,347
Perlebygg,100,289
Perlespelt,100,281
"Ris, arborio, risottoris, tørr",100,378
"Ris, grøtris, 1 times koketid, tørr",100,357
"Ris, grøtris, 5-25 min koketid, tørr",100,354
"Ris, hurtigris, 1 % salt, tørr",100,349
"Ris, hurtigris, tørr",100,359
"Ris, polert, Basmatiris, tørr",100,354
"Ris, polert, Jasminris, tørr",100,354
"Ris, polert, langkornet, tørr",100,343
"Ris, polert, parboiled, langkornet, tørr",100,347
"Ris, upolert, naturris, langkornet, tørr",100,364
"Ris, villris, rå",100,353
"Semulegryn, hvetegryn",100,339
Sorghum,100,359
,,
"Gryn, ris, pasta, tilberedt",,
"Bulgurgryn, kokt",100,131
"Byggryn, kokt",100,107
"Couscous, kokt",100,172
"Nudler av hvete, uten egg, kokt",100,187
"Nudler av ris, kokt uten salt",100,167
"Nudler, kokt, med krydder",100,190
"Pasta, fullkorn, kokt med salt",100,135
"Pasta, grønn, fersk, kokt",100,141
"Pasta, naturell, fersk, kokt",100,150
"Pasta, naturell, kokt",100,116
"Ris, Basmati, kokt",100,124
"Ris, hurtigris, 1 % salt, kokt",100,87
"Ris, hurtigris, kokt",100,122
"Ris, Jasmin, kokt",100,124
"Ris, polert, langkornet, kokt",100,116
"Ris, polert, parboiled, langkornet, kokt",100,118
"Ris, upolert, naturris, langkornet, kokt",100,124
"Ris, villris, kokt",100,122
,,
"Kornblanding, frokostkorn",,
"Corn flakes, Kelloggs",100,381
"Corn flakes, søt, Frosties",100,383
"Frokostkorn, Jippi Frokosttall",100,362
"Frokostkorn, ristet hvete og ris, Spesial K",100,374
"Frokostkorn, sjokoladesmak",100,386
"Frokostkorn, sjokoladesmak, Coco Pops Crunchers",100,380
"Frokostkorn, sjokoladesmak, Nestlé Nesquick",100,369
"Havre, ristet, med frukt, olje, Crüsli",100,444
"Havreflak, Havreflakes",100,392
"Havreputer, Havrefras",100,363
"Havreputer, Jippi Havreputer",100,403
"Havreringer, Nestlé Cheerios",100,394
"Hvetebrikker, Weetabix",100,358
"Hveteflak ristet, med hvetekli, All-bran Regular",100,336
"Hvetekli, ristet, All-Bran plus",100,349
"Kornblanding,  4-korn",100,324
"Kornblanding, med bær, Go'dag Blåbærmüsli",100,328
"Kornblanding, med frukt og nøtter, Go'dag Energimüsli",100,401
"Kornblanding, med frukt, AXA Fruktmüsli",100,376
"Kornblanding, med frukt, Go'dag Fruktmüsli",100,355
"Kornblanding, müsli med frukt, nøtter, søtet",100,365
"Kornblanding, Vita Hjertego' Flerkornsblanding med Blåbær og Tranebær",100,360
"Puffet havre, Havrenøtter",100,403
"Puffet hvete, Hvetenøtter",100,378
"Puffet hvete, med sukker og honning, Honni korn",100,381
Puffet ris,100,378
,,
"Brødvarer, hjemmebakt",,
"Brød, 1/3 sammalt mel, skummet melk, hjemmebakt",100,245
"Brød, 1/3 sammalt mel, vann, hjemmebakt",100,237
"Brød, 100 % sammalt mel, skummet melk, hjemmebakt",100,235
"Brød, 2/3 sammalt mel, skummet melk, hjemmebakt",100,243
"Brød, 2/3 sammalt mel, vann, hjemmebakt",100,228
"Brød, 25 % sammalt mel, skummet melk, hjemmebakt",100,247
"Brød, 25 % sammalt mel, vann, hjemmebakt",100,239
"Brød, 50 % sammalt mel, skummet melk, hjemmebakt",100,240
"Brød, 50 % sammalt mel, vann, hjemmebakt",100,233
"Brød, 75 % sammalt mel, skummet melk, hjemmebakt",100,242
"Brød, 75 % sammalt mel, vann, hjemmebakt",100,226
"Brød, ekstra grovt, 75 % sammalt mel, hjemmebakt",100,246
"Brød, glutenfritt, fint, med lettmelk, hjemmebakt",100,220
"Brød, glutenfritt, fint, med vann, hjemmebakt",100,207
"Brød, glutenfritt, grovt, med lettmelk, hjemmebakt",100,217
"Brød, glutenfritt, grovt, med vann, hjemmebakt",100,209
"Brød, glutenfritt, grovt, soyadrikke med kalsium, hjemmebakt",100,227
"Brød, glutenfritt, grovt, soyadrikke, hjemmebakt",100,212
"Brød, grovbakst, 40 % sammalt mel, hjemmebakt",100,241
"Chapatti, med sammalt mel",100,235
Focaccia,100,316
"Loff, skummet melk, hjemmebakt",100,276
"Loff, vann, hjemmebakt",100,262
"Pizzabunn, uten fyll",100,244
Pizzasnurrer,100,251
"Rundstykke, baguette, finbakstmel, hjemmebakt",100,265
"Rundstykke, fint, med skummet melk, hjemmebakt",100,283
"Rundstykke, fint, med vann, hjemmebakt",100,268
"Rundstykke, grovt, med skummet melk, hjemmebakt",100,271
"Rundstykke, grovt, med vann, hjemmebakt",100,256
"Rundstykke, mellomgrovt, med skummet melk, hjemmebakt",100,277
"Rundstykke, mellomgrovt, med vann, hjemmebakt",100,261
"Scones, grove, med melk",100,301
"Scones, grove, med yoghurt",100,256
,,
"Brødvarer, industribakt",,
"Baguette, fin, halvstekt, stekt",100,260
"Brød, ekstra grovt (75-100 %), karbohydratredusert, kjøpt, Fiber og frø",100,260
"Brød, ekstra grovt (75-100 %), kjøpt",100,221
"Brød, ekstra grovt (75-100 %), kjøpt, Grovbrød uten hele korn",100,226
"Brød, ekstra grovt (75-100 %), kjøpt, Grovt & Godt Grovbrød",100,212
"Brød, ekstra grovt (75-100 %), kjøpt, Grovt og godt havrebrød",100,230
"Brød, ekstra grovt (75-100 %), kjøpt, Havrebrød",100,219
"Brød, glutenfritt, Semper formbrød",100,248
"Brød, grovt (50-75 %), kjøpt",100,237
"Brød, grovt (50-75 %), kjøpt, First Price kneipp",100,246
"Brød, grovt (50-75 %), kjøpt, Istidbrød",100,232
"Brød, grovt (50-75 %), kjøpt, Josefinebrød",100,245
"Brød, grovt (50-75 %), kjøpt, Løvebrølbrød",100,246
"Brød, grovt (50-75 %), kjøpt, Norsk Fjellbrød",100,247
"Brød, grovt (50-75 %), kjøpt, Pågen kjernesunt brød",100,229
"Brød, grovt (50-75 %), kjøpt, Skibrød",100,235
"Brød, grovt (50-75 %), kjøpt, Speltbrød",100,269
"Brød, grovt (50-75 %), kjøpt, Superbrød",100,225
"Brød, halvgrovt (25-50 %), kjøpt",100,231
"Brød, halvgrovt (25-50 %), kjøpt, Jegerbrød",100,234
"Brød, halvgrovt (25-50 %), kjøpt, Kneippbrød",100,219
"Brød, halvgrovt (25-50 %), kjøpt, Odelsbrød",100,245
"Brød, halvgrovt (25-50 %), kjøpt, Yoghurtbrød",100,222
"Hamburgerbrød, fint, kjøpt",100,303
"Loff, fint brød (0-25 %), formstekt, kjøpt",100,256
"Loff, fint brød (0-25 %), halvstekt, stekt",100,259
"Loff, fint brød (0-25 %), kjøpt",100,272
"Loff, fint brød (0-25 %), spiral, kjøpt",100,264
"Pitabrød, fint, kjøpt",100,235
"Polarbrød, hvete",100,321
"Potetlompe, potetlefse, kjøpt",100,170
"Pumpernikkel, fullkornsbrød, ekstra grovt (75-100 %), kjøpt",100,204
"Pølsebrød, fint, kjøpt",100,304
"Rugbrød, fint (0-25 %), kjøpt",100,248
"Rugbrød, grovt (50-75 %), kjøpt",100,259
"Rundstykke, fint, halvstekt, kjøpt, stekt",100,273
"Rundstykke, fint, kjøpt",100,284
"Rundstykke, grovt, halvstekt, kjøpt, stekt",100,289
"Rundstykke, grovt, kjøpt",100,256
"Tortilla, burrito, hvetemel, Old El Paso",100,254
"Tortilla, maislefse",100,258
"Tortilla, wraps, hvetemel, Santa Maria",100,265
"Tortilla, wraps/burrito, hvetemel",100,260
,,
"Knekkebrød, smørbrødkjeks o.l.",,
"Flatbrød, havre, kjøpt",100,320
"Flatbrød, hjemmebakt type, kjøpt",100,343
"Flatbrød, kjøpt",100,340
"Kjeks, fet, Cream cracker",100,417
"Kjeks, grov, Kornmo",100,404
"Kjeks, Kaptein",100,372
"Kjeks, mager, usøtet, Frokost",100,387
"Kjeks, salt, fet, Ritz, Seltiner",100,466
"Kjeks, Start",100,390
"Klibrød, med hvetekli",100,312
"Knekkebrød, glutenfritt",100,380
"Knekkebrød, glutenfritt, av pulver, Toro",100,497
"Knekkebrød, havre",100,364
"Knekkebrød, havre, Sigdal helsprøtt",100,457
"Knekkebrød, lyst",100,403
"Knekkebrød, med ekstra fiber",100,349
"Knekkebrød, Mesterbakeren Original",100,475
"Knekkebrød, rug, grovt",100,338
"Knekkebrød, rug, Husman",100,319
"Knekkebrød, rug, Husman Sport",100,319
"Knekkebrød, rug, med fyll, sandwich",100,447
"Knekkebrød, rug, Ryvita",100,336
"Knekkebrød, rug, tynt, Rugsprø, Finncrisp",100,345
"Knekkebrød, Synnøve Grovkrisp sesamfrø og linfrø",100,441
"Riskaker, lettsaltet",100,380
"Riskaker, usaltet",100,380
"Skonrokk, grov",100,394
Tacoskjell,100,462
"Tacoskjell, Old El Paso",100,477
"Tacoskjell, tubs, Santa Maria",100,448
,,
"Småkaker, søt kjeks, kavring",,
Biscotti,100,449
Brune pinner,100,474
"Havremakroner, kjøpt",100,425
Hvite kakemenn,100,371
"Kavring, søt, sukkerkavring",100,459
"Kjeks, søt,  sjokoladebiter, cookies, store",100,420
"Kjeks, søt, Ballerina",100,465
"Kjeks, søt, barnekjeks",100,440
"Kjeks, søt, barnekjeks med sjokolade",100,482
"Kjeks, søt, fylt med syltetøy el. frukt",100,386
"Kjeks, søt, Gjende",100,463
"Kjeks, søt, grov, Digestive",100,470
"Kjeks, søt, havre og sjokolade",100,489
"Kjeks, søt, havre, Bixit",100,458
"Kjeks, søt, havre, SIBAS",100,455
"Kjeks, søt, havreflarn",100,485
"Kjeks, søt, kremfyll",100,480
"Kjeks, søt, Mariekjeks",100,446
"Kjeks, søt, sjokoladebiter, nøtter, cookies, små",100,491
"Kjeks, søt, vaffel, fylt",100,512
Kokosmakroner,100,458
Kransekake,100,480
Krumkaker,100,410
Marengs,100,388
Pepperkaker,100,459
Peppernøtter,100,504
Serinakaker,100,457
,,
"Søt gjærbakst, lefser, vafler o.l.",,
"Berlinerbolle, kjøpt",100,439
"Bolle, glutenfri, med lettmelk, hjemmebakt",100,281
"Bolle, med helmelk, hjemmebakt",100,342
"Bolle, med lettmelk, hjemmebakt",100,329
"Bolle, med sjokoladebiter",100,378
"Bolle, med skummet melk, hjemmebakt",100,324
"Bolle, uten rosiner, kjøpt",100,361
"Croissant, uten fyll, kjøpt",100,404
Hvetekake,100,284
Julekake,100,341
"Kanelbolle, skillingsbolle, hjemmebakt",100,351
"Kanelbolle, skillingsbolle, med sukkerstrø, kjøpt",100,292
"Kanelbolle, skillingsbolle, med vaniljekrem, melisglasur, kjøpt",100,261
"Kringle, gjærdeig, med tørket frukt",100,353
"Lefse, ferdig smurt, Vestlandslefsa",100,347
Lussekatter,100,347
"Rosinbolle, kjøpt",100,357
"Skolebrød, med melisglasur, eggekrem, kokos, kjøpt",100,326
"Tykklefse, påsmurt, kjøpt",100,410
"Tykklefse, uten fyll",100,346
"Vafler, av pulver, Toro",100,309
"Vafler, glutenfrie, av pulver, Toro",100,282
"Vafler, grove",100,226
"Vafler, med egg og helmelk",100,225
"Vafler, med egg og lettmelk, uten fett",100,197
"Vafler, med egg og skummet melk",100,211
"Vafler, med egg, lettmelk",100,218
"Vafler, med fløte/rømme, uten egg",100,274
Vørterkake,100,278
"Wienerbrød, med eggekrem",100,401
"Wienerbrød, med syltetøy, kjøpt",100,346
"Wienerkringle, med mandelfyll",100,496
"Wienerkringle, med mandelfyll",100,496
,,
Andre kaker o.l.,,
"Bløtkake, med krem, syltetøy",100,306
"Brownies, med sjokoladeglasur, kjøpt",100,421
"Cupcakes, med glasur, av pulver, smør",100,375
Daimkake,100,379
Delfiakake,100,530
"Donuts, med sjokoladeglasur, kjøpt",100,497
Eplekake,100,287
Eplepai,100,223
"Formkake, fet, dansk sandkake",100,413
"Formkake, marmor",100,368
"Formkake, med epler",100,265
"Formkake, med glasur, kjøpt",100,395
"Formkake, med mindre fett",100,326
"Formkake, uten glasur, kjøpt",100,406
"Fyrstekake, med epler",100,321
"Fyrstekake, med mandler",100,430
Gulrotkake,100,290
"Gulrotkake, med ostekrem, kjøpt",100,331
"Kakebunn, glutenfri, av pulver, Toro",100,334
Kokosbollekake,100,372
"Kvæfjordkake, Verdens beste",100,330
Marengsbunn,100,356
"Marsipankake, med syltetøy og krem",100,375
"Mazarin, kjøpt",100,436
Muffins,100,411
"Muffins, med banan",100,344
"Muffins, med banan, melisglasur",100,344
"Muffins, med blåbær",100,331
"Muffins, med blåbær, kjøpt",100,379
"Muffins, med blåbær, melisglasur",100,333
"Muffins, med kakao",100,410
"Muffins, med kakao, melisglasur",100,401
"Muffins, med melisglasur",100,402
"Muffins, med sitron",100,396
"Muffins, med sitron, melisglasur",100,389
"Muffins, med sjokoladebiter",100,423
"Muffins, med sjokoladebiter, kjøpt",100,390
"Muffins, med sjokoladebiter, melisglasur",100,413
Napoleonskake,100,306
Nøttebunn,100,407
"Nøttekake, myk",100,419
"Oreokake, av pulver, fløte og smør",100,335
"Ostekake, med kjeksbunn",100,337
"Pavlova, med kremfløte og bær",100,278
"Rullekake, med smørkrem av margarin",100,398
"Rullekake, med smørkrem, kjøpt",100,382
"Rullekake, med syltetøy",100,246
Sarah Bernhard-kake,100,467
Sirupskake,100,266
Sitronterte,100,371
"Sjokoladekake, med glasur",100,354
"Sjokoladekake, med glasur, kjøpt",100,419
"Sjokoladekake, uten glasur",100,361
Smultringer,100,473
Snickerskake,100,427
Sukkerbrød,100,293
"Sukkerbrød, med eggekrem, bær, gele",100,134
Suksessterte,100,430
Sveler,100,247
"Terte, uten fyll",100,527
"Vannbakkels, uten fyll",100,404
,,
"Nøtter, mandler og frø",,
Cashewnøtter,100,592
"Cashewnøtter, saltet",100,603
"Cashewnøtter, saltet, Den lille nøttefabrikken",100,601
"Cashewnøtter, saltet, Eldorado",100,582
"Cashewnøtter, saltet, Rema 1000",100,628
"Chiafrø, tørket",100,482
Hasselnøtter,41,670
"Kokosnøtt, rå",52,358
"Linfrø, knuste",100,513
Macadamianøtter,31,753
Mandler,100,601
"Mandler, skåldet",100,600
Paranøtter,51,680
Peanøtter,69,594
"Peanøtter, saltet",100,623
"Peanøtter, saltet, Eldorado",100,597
"Peanøtter, saltet, Maarud",100,615
"Peanøtter, saltet, Polly",100,656
Peanøttsmør,100,620
Pekannøtter,53,721
Pinjekjerner,77,665
Pistasjnøtter,53,589
"Pistasjnøtter, saltet",53,543
"Quinoa, hvit, tørr",100,330
"Quinoa, kokt",100,144
"Quinoa, rød, tørr",100,381
"Quinoa, svart, tørr",100,331
"Quinoa, tørr",100,347
"Sesamfrø, med skall",100,595
"Sesamfrø, uten skall",100,632
Solsikkefrø,100,621
"Squashfrø, gresskarfrø",100,585
Valnøtter,45,680
,,
"Poteter, grønnsaker, frukt og bær",,
Poteter,,
"Pommes frites, fryst",100,153
"Pommes frites, gatekjøkken",100,330
"Potet, hermetisk, avrent",100,57
"Potet, høstpotet, rå",82,72
"Potet, lagringspotet, kokt med skall",87,80
"Potet, lagringspotet, kokt uten skall, saltet vann",100,72
"Potet, lagringspotet, rå",82,80
"Potet, tidligpotet, med skall, Kypros, rå",100,60
"Potet, tidligpotet, rå",83,54
"Potetmos, av pulver, med melk",100,66
"Potetsalat, med ekte majones",100,325
"Potetsalat, med lettmajones (40 % fett)",100,195
"Potetsalat, med lettrømme",100,107
"Potetsalat, med seterrømme",100,142
,,
Grønnsaker,,
"Grønnsaker, rå og fryst",,
"Agurk, norsk, rå",97,10
"Alfalfaspirer, rå",100,27
"Artiskokk, rå",43,28
"Asparges, rå",53,22
"Aubergine, rå",81,20
"Babygulrot, importert, rå",100,28
"Bladsalat, norsk, rå",94,10
"Blomkål, norsk, fryst",100,22
"Blomkål, norsk, rå",74,23
"Brennesle, rå",100,43
"Brokkoli, fryst",100,27
"Brokkoli, importert, rå",86,30
"Brokkoli, norsk, rå",86,28
"Brokkoli, uspesifisert, rå",86,29
"Brønnkarse, rå",13,11
"Bønnespirer, mungbønnespirer, rå",100,41
"Chayote, rå",99,19
"Cherrytomat, importert, rå",100,17
"Chili, grønn, rå",73,33
"Chili, rød, rå",73,35
"Endivesalat, rå",86,13
"Feltsalat, rå",100,17
"Fennikel, rå",93,19
"Gresskar, rå",70,13
"Grønnkål, rå",61,36
"Gulrot, babygulrot, fryst",100,26
"Gulrot, importert, rå",89,29
"Gulrot, knaskegulrot, norsk, rå",100,25
"Gulrot, norsk, rå",89,36
"Gulrot, terninger, fryst",100,27
"Gulrot, uspesifisert, rå",89,36
"Hodekål, rå",92,32
"Hvitløk, rå",79,106
"Ingefærrot, rå",94,50
"Isbergsalat, issalat, norsk, rå",92,12
"Jalapeño, rå",92,29
"Jordskokk, rå",69,65
"Kantarell, rå",89,17
"Kassava, rå",84,159
"Kinakål, norsk, rå",92,15
"Knutekål, rå",46,23
"Kålrot, kålrabi, norsk, rå",83,35
"Lotusrot, rå",79,65
"Løk, gul/rød, norsk, rå",93,32
"Mais, fryst",100,115
"Mais, norsk, rå",56,85
"Mangold, sølvbete, rå",92,21
"Neper, norsk, rå",77,29
"Okra, rå",86,28
"Pak-choi, bok choy, kål, rå",88,18
"Paprika, grønn, rå",85,21
"Paprika, gul/oransje, rå",85,26
"Paprika, rød, rå",85,26
"Pastinakk, rå",80,65
"Pepperrot, rå",27,96
"Persillerot, norsk, rå",91,46
"Portobellosopp, rå",97,24
"Purreløk, norsk, rå",83,28
"Rabarbra, rå",75,20
"Radicchio rosso, salat, rå",91,18
"Rapidsalat, norsk, rå",94,11
"Reddik, norsk, rå",94,16
"Romanosalat, rå",94,16
"Rosenkål, fryst",100,43
"Rosenkål, norsk, rå",80,52
"Ruccolasalat, rå",100,28
"Rødbete, norsk, rå",86,49
"Rødkål, rå",80,32
"Sellerirot, norsk, rå",70,27
"Shiitakesopp, rå",100,26
"Sikorisalat, rå",80,15
"Sjalottløk, rå",72,24
"Sjampinjong, norsk,  rå",89,22
"Skorsonnerot, svartrot, rå",63,73
"Spinat, fryst, rå",100,21
"Spinat, rå",70,22
"Spisskål, rå",80,18
"Squash, zucchini, rå",88,17
"Stangselleri, norsk, rå",76,15
"Steinsopp, rå",100,30
"Søtpotet, rå",72,80
"Tomat, importert, rå",100,12
"Tomat, norsk, rå",100,18
"Tomat, uspesifisert, rå",100,18
"Traktkantarell, rå",100,24
"Vannkastanje, rå",73,52
"Vårløk, rå",96,23
"Wasabirot, rå",77,103
"Yams, rå",86,111
"Østerssopp, rå",89,26
,,
"Grønnsaker, tilberedt",,
"Blomkål, kokt",74,23
"Brokkoli, kokt",86,30
"Gulrot, kokt",86,36
"Hodekål, kokt",91,32
"Kålrot, kokt",83,35
"Løk, kokt",93,32
"Paprika, grønn, kokt",83,20
"Paprika, rød, kokt",89,29
"Persillerot, kokt",91,46
"Purre, kokt",83,28
"Søtpotet, med skall, kokt uten salt",100,85
"Tomat, kokt",100,18
,,
Grønnsaksprodukter,,
"Agurker, syltede",100,37
Agurksalat,100,24
"Asparges, hermetisk, avrent",100,24
"Babymais, minimais, hermetisk",100,26
"Bambusskudd, hermetisk",100,14
"Blomkål, bønner, erter, gulrot, fryst",100,42
"Blomkål, erter, gulrot, fryst",100,42
"Erter, gulrot, fryst",100,54
"Erter, gulrot, mais, fryst",100,64
Fløtegratinerte poteter,100,149
Guacamole,100,156
"Ingefær, syltet",60,30
"Kapers, hermetisk",100,25
"Kastanjer, ristede",63,184
"Ketchup, tomatketchup",100,107
"Kålrotstappe, kålrabistappe",100,72
"Løk, sprøstekt",100,537
"Mais, hermetisk",100,85
"Nori, tørket tang",100,255
"Oliven, grønne, med paprikafyll",100,130
"Oliven, grønne, pickles",80,151
"Oliven, sorte, i olje, hermetisk",80,348
"Rødbeter, syltede",100,59
"Sjampinjong, hermetisk, avrent",100,23
"Surkål, kjøpt",100,29
Tacosaus,100,27
"Tacosaus, medium, Old El Paso",100,27
"Tacosaus, medium, Santa Maria",100,28
"Tomat, hakket, tetrapak",100,24
"Tomat, hermetisk",100,20
"Tomater, soltørkede, innlagte i olje, avrent",100,193
"Tomater, soltørkede, tørr",100,280
Tomatjuice,100,18
Tomatpuré,100,108
"Tomatpuré, hermetisk",100,84
Tzatziki,100,49
"Vannkastanjer, hermetiske",63,38
"Vannkastanjer, hermetiske",63,38
"Wokblanding, klassisk",100,36
"Wokblanding, klassisk",100,34
"Wokblanding, type indisk",100,60
"Wokblanding, type kinesisk",100,29
"Wokblanding, type thai",100,52
,,
Belgfrukter,,
"Adzukibønner, tørr",100,310
"Aspargesbønner, fryst",100,28
"Aspargesbønner, rå",100,27
"Bondebønner, hestebønner, tørr",100,316
"Borlottibønner, tørr",100,324
"Brune bønner, kokt",100,125
"Brune bønner, tørre",100,313
"Edamamebønner, soyabønner, fryst",100,130
"Erter, fryst",100,68
"Erter, grønne, hermetisk, avrent",100,64
"Erter, tørre",100,334
